timestamp_sec,timestamp_hms,ram_mb
1.00,0:00:01,964.34
2.00,0:00:02,852.05
3.00,0:00:03,753.53
4.00,0:00:04,667.44
5.00,0:00:05,592.04
6.00,0:00:06,526.17
7.00,0:00:07,468.54
8.00,0:00:08,418.12
9.00,0:00:09,373.76
10.00,0:00:10,335.06
11.00,0:00:11,301.12
12.00,0:00:12,271.70
13.00,0:00:13,245.75
14.01,0:00:14,223.02
15.01,0:00:15,203.32
16.01,0:00:16,185.87
17.01,0:00:17,170.61
18.01,0:00:18,157.41
19.01,0:00:19,145.69
20.01,0:00:20,135.45
21.01,0:00:21,126.69
24.91,0:00:24,118.71
25.91,0:00:25,96.49
26.91,0:00:26,92.50
27.91,0:00:27,89.02
28.92,0:00:28,85.78
29.92,0:00:29,83.04
30.92,0:00:30,80.78
31.92,0:00:31,78.79
32.92,0:00:32,76.79
33.92,0:00:33,75.31
34.92,0:00:34,73.78
35.92,0:00:35,72.54
36.92,0:00:36,71.57
37.92,0:00:37,70.54
38.92,0:00:38,69.77
39.92,0:00:39,69.07
40.92,0:00:40,68.55
41.92,0:00:41,68.04
42.92,0:00:42,67.33
43.92,0:00:43,67.07
44.92,0:00:44,66.55
45.92,0:00:45,66.30
46.92,0:00:46,66.04
47.92,0:00:47,65.78
48.92,0:00:48,65.52
49.92,0:00:49,65.27
50.92,0:00:50,65.27
51.92,0:00:51,65.01
52.92,0:00:52,65.01
53.92,0:00:53,64.75
54.92,0:00:54,64.75
55.92,0:00:55,64.75
59.89,0:00:59,64.50
60.89,0:01:00,64.50
61.89,0:01:01,863.58
62.89,0:01:02,763.52
63.89,0:01:03,676.14
64.89,0:01:04,599.84
65.89,0:01:05,532.93
66.89,0:01:06,474.27
67.89,0:01:07,423.15
68.89,0:01:08,378.20
69.89,0:01:09,339.05
70.89,0:01:10,304.86
71.89,0:01:11,274.66
72.89,0:01:12,248.46
73.90,0:01:13,225.28
74.90,0:01:14,205.32
75.90,0:01:15,187.61
76.90,0:01:16,172.09
77.90,0:01:17,158.63
78.90,0:01:18,146.91
79.90,0:01:19,136.42
80.90,0:01:20,127.47
81.90,0:01:21,119.48
82.90,0:01:22,112.72
83.90,0:01:23,106.48
84.90,0:01:24,101.26
85.90,0:01:25,96.75
86.90,0:01:26,92.50
87.90,0:01:27,89.03
88.90,0:01:28,86.00
89.90,0:01:29,83.04
90.90,0:01:30,80.79
91.90,0:01:31,78.79
95.86,0:01:35,76.79
96.86,0:01:36,71.58
97.86,0:01:37,70.55
98.86,0:01:38,69.78
99.86,0:01:39,69.07
100.86,0:01:40,68.55
101.86,0:01:41,68.04
102.86,0:01:42,67.59
103.86,0:01:43,67.07
104.86,0:01:44,66.55
105.86,0:01:45,66.30
106.86,0:01:46,66.04
107.86,0:01:47,65.78
108.86,0:01:48,65.52
109.86,0:01:49,65.52
110.86,0:01:50,65.27
111.86,0:01:51,65.01
112.86,0:01:52,65.01
113.86,0:01:53,64.75
114.86,0:01:54,64.75
115.86,0:01:55,64.75
116.86,0:01:56,64.50
117.86,0:01:57,64.50
118.86,0:01:58,64.50
119.87,0:01:59,64.50
120.87,0:02:00,64.50
121.87,0:02:01,866.28
122.87,0:02:02,765.96
123.87,0:02:03,678.39
124.87,0:02:04,601.57
125.87,0:02:05,534.67
126.87,0:02:06,475.82
130.78,0:02:10,424.37
131.78,0:02:11,277.88
132.78,0:02:12,251.23
133.78,0:02:13,227.98
134.78,0:02:14,207.31
135.78,0:02:15,189.61
136.78,0:02:16,173.83
137.78,0:02:17,160.11
138.78,0:02:18,148.14
139.78,0:02:19,137.71
140.78,0:02:20,128.43
141.78,0:02:21,120.45
142.78,0:02:22,113.50
143.78,0:02:23,107.25
144.78,0:02:24,101.78
145.78,0:02:25,97.01
146.78,0:02:26,93.02
147.78,0:02:27,89.29
148.78,0:02:28,86.26
149.78,0:02:29,83.55
150.78,0:02:30,81.04
151.78,0:02:31,79.05
152.79,0:02:32,77.05
153.79,0:02:33,75.31
154.79,0:02:34,74.02
155.79,0:02:35,72.80
156.79,0:02:36,71.78
157.79,0:02:37,70.80
158.79,0:02:38,70.03
159.79,0:02:39,69.07
160.79,0:02:40,68.55
161.79,0:02:41,68.04
165.76,0:02:45,67.59
166.76,0:02:46,66.04
167.76,0:02:47,65.78
168.76,0:02:48,65.52
169.76,0:02:49,65.52
170.76,0:02:50,65.27
171.77,0:02:51,65.01
172.77,0:02:52,65.01
173.77,0:02:53,64.75
174.77,0:02:54,64.75
175.77,0:02:55,64.75
176.77,0:02:56,64.50
177.77,0:02:57,64.50
178.77,0:02:58,64.50
179.77,0:02:59,64.50
180.77,0:03:00,64.50
181.77,0:03:01,876.78
182.77,0:03:02,775.24
183.77,0:03:03,686.38
184.77,0:03:04,608.79
185.77,0:03:05,540.66
186.77,0:03:06,481.30
187.77,0:03:07,429.14
188.77,0:03:08,383.49
189.77,0:03:09,343.57
190.77,0:03:10,308.86
191.77,0:03:11,278.14
192.77,0:03:12,251.49
193.77,0:03:13,227.98
194.77,0:03:14,207.57
195.77,0:03:15,189.61
196.77,0:03:16,174.09
197.77,0:03:17,160.38
201.73,0:03:21,148.14
202.73,0:03:22,113.76
203.73,0:03:23,107.51
204.73,0:03:24,102.23
205.73,0:03:25,97.27
206.73,0:03:26,93.28
207.73,0:03:27,89.55
208.73,0:03:28,86.26
209.73,0:03:29,83.56
210.73,0:03:30,81.05
211.73,0:03:31,79.05
212.73,0:03:32,77.05
213.73,0:03:33,75.57
214.73,0:03:34,74.03
215.74,0:03:35,72.80
216.74,0:03:36,71.78
217.74,0:03:37,70.81
218.74,0:03:38,70.04
219.74,0:03:39,69.33
220.74,0:03:40,68.55
221.74,0:03:41,68.04
222.74,0:03:42,67.59
223.74,0:03:43,67.07
224.74,0:03:44,66.82
225.74,0:03:45,66.30
226.74,0:03:46,66.04
227.74,0:03:47,65.79
228.74,0:03:48,65.53
229.74,0:03:49,65.53
230.74,0:03:50,65.27
231.74,0:03:51,65.01
232.74,0:03:52,65.01
236.64,0:03:56,64.75
237.64,0:03:57,64.50
238.64,0:03:58,64.50
239.64,0:03:59,64.50
240.64,0:04:00,64.50
241.64,0:04:01,890.50
242.64,0:04:02,787.21
243.64,0:04:03,696.88
244.64,0:04:04,617.74
245.64,0:04:05,548.65
246.65,0:04:06,488.25
247.65,0:04:07,435.13
248.65,0:04:08,388.96
249.65,0:04:09,348.27
250.65,0:04:10,312.86
251.65,0:04:11,281.69
252.65,0:04:12,254.71
253.65,0:04:13,230.76
254.65,0:04:14,210.03
255.65,0:04:15,191.87
256.65,0:04:16,175.90
257.65,0:04:17,161.86
258.65,0:04:18,149.70
259.65,0:04:19,138.94
260.65,0:04:20,129.73
261.65,0:04:21,121.49
262.65,0:04:22,114.21
263.65,0:04:23,107.97
264.65,0:04:24,102.50
265.65,0:04:25,97.80
266.65,0:04:26,93.55
267.65,0:04:27,89.79
271.60,0:04:31,86.53
272.60,0:04:32,77.32
273.60,0:04:33,75.79
274.60,0:04:34,74.29
275.60,0:04:35,73.07
276.60,0:04:36,71.79
277.60,0:04:37,70.82
278.60,0:04:38,70.04
279.60,0:04:39,69.34
280.60,0:04:40,68.56
281.60,0:04:41,68.05
282.60,0:04:42,67.60
283.60,0:04:43,67.08
284.60,0:04:44,66.82
285.60,0:04:45,66.31
286.60,0:04:46,66.05
287.60,0:04:47,65.79
288.60,0:04:48,65.54
289.60,0:04:49,65.54
290.60,0:04:50,65.28
291.60,0:04:51,65.02
292.60,0:04:52,65.02
293.60,0:04:53,64.76
294.60,0:04:54,64.76
295.60,0:04:55,64.76
296.61,0:04:56,64.51
297.61,0:04:57,64.51
298.61,0:04:58,64.51
299.61,0:04:59,64.51
300.61,0:05:00,64.51
