timestamp_sec,timestamp_hms,ram_mb
1.00,0:00:01,64.43
2.00,0:00:02,64.43
3.00,0:00:03,64.43
4.00,0:00:04,64.43
5.00,0:00:05,64.43
6.00,0:00:06,64.69
9.98,0:00:09,64.69
10.98,0:00:10,65.20
11.98,0:00:11,65.20
12.98,0:00:12,65.46
13.98,0:00:13,65.72
14.98,0:00:14,65.98
15.98,0:00:15,66.23
16.98,0:00:16,66.49
17.98,0:00:17,67.01
18.98,0:00:18,67.20
19.98,0:00:19,67.71
20.98,0:00:20,68.23
21.98,0:00:21,69.00
22.98,0:00:22,69.71
23.98,0:00:23,70.48
24.98,0:00:24,71.45
25.98,0:00:25,72.48
26.98,0:00:26,73.70
27.98,0:00:27,74.99
28.98,0:00:28,76.73
29.98,0:00:29,78.47
30.98,0:00:30,80.46
31.98,0:00:31,82.72
32.98,0:00:32,85.46
33.98,0:00:33,88.68
34.98,0:00:34,91.97
35.98,0:00:35,96.18
36.98,0:00:36,100.68
37.98,0:00:37,105.97
38.98,0:00:38,111.95
39.98,0:00:39,118.69
40.98,0:00:40,126.44
44.91,0:00:44,135.46
45.91,0:00:45,184.60
46.91,0:00:46,201.79
47.92,0:00:47,221.42
48.92,0:00:48,243.86
49.92,0:00:49,269.50
50.92,0:00:50,298.80
51.92,0:00:51,332.27
52.92,0:00:52,370.53
53.92,0:00:53,414.24
54.92,0:00:54,464.18
55.92,0:00:55,521.25
56.92,0:00:56,586.47
57.92,0:00:57,660.99
58.92,0:00:58,746.13
59.92,0:00:59,843.43
60.92,0:01:00,954.61
61.92,0:01:01,64.44
62.92,0:01:02,64.44
63.92,0:01:03,64.44
64.92,0:01:04,64.44
65.92,0:01:05,64.69
66.92,0:01:06,64.69
67.92,0:01:07,64.69
68.92,0:01:08,64.95
69.92,0:01:09,64.95
70.92,0:01:10,65.21
71.92,0:01:11,65.21
72.92,0:01:12,65.46
73.92,0:01:13,65.72
74.92,0:01:14,65.98
75.92,0:01:15,66.24
79.85,0:01:19,66.50
80.85,0:01:20,68.23
81.85,0:01:21,68.75
82.85,0:01:22,69.52
83.85,0:01:23,70.49
84.85,0:01:24,71.26
85.85,0:01:25,72.23
86.85,0:01:26,73.52
87.85,0:01:27,74.74
88.85,0:01:28,76.48
89.85,0:01:29,78.21
90.85,0:01:30,80.21
91.85,0:01:31,82.46
92.85,0:01:32,85.23
93.85,0:01:33,88.20
94.85,0:01:34,91.48
95.85,0:01:35,95.47
96.85,0:01:36,99.98
97.85,0:01:37,105.20
98.85,0:01:38,111.12
99.85,0:01:39,117.72
100.85,0:01:40,125.46
101.85,0:01:41,134.23
102.85,0:01:42,144.23
103.85,0:01:43,155.66
104.85,0:01:44,168.69
105.85,0:01:45,183.64
106.85,0:01:46,200.69
107.85,0:01:47,220.17
108.86,0:01:48,242.43
109.86,0:01:49,267.86
110.86,0:01:50,296.93
111.86,0:01:51,330.14
114.90,0:01:54,368.09
115.90,0:01:55,520.16
116.90,0:01:56,585.32
117.90,0:01:57,659.72
118.90,0:01:58,744.70
119.90,0:01:59,841.90
120.90,0:02:00,952.88
121.90,0:02:01,64.44
122.90,0:02:02,64.44
123.90,0:02:03,64.44
124.91,0:02:04,64.44
125.91,0:02:05,64.69
126.91,0:02:06,64.69
127.91,0:02:07,64.69
128.91,0:02:08,64.95
129.91,0:02:09,64.95
130.91,0:02:10,65.21
131.91,0:02:11,65.21
132.91,0:02:12,65.46
133.91,0:02:13,65.72
134.91,0:02:14,65.98
135.91,0:02:15,66.24
136.91,0:02:16,66.50
