index,cpu,ram
1,79,58
2,78,54
3,79,64
4,78,66
5,75,57
6,74,53
7,69,57
8,69,57
9,68,59
10,73,59
11,68,67
12,77,63
13,74,59
14,75,57
15,80,63
16,79,66
17,81,67
18,79,69
19,80,68
20,73,69
21,75,70
22,70,66
23,69,68
24,72,68
25,74,69
26,77,64
27,74,54
28,70,56
29,73,55
30,79,61
31,81,63
32,72,64
33,72,56
34,70,53
35,67,58
36,72,59
37,74,63
38,75,68
39,79,67
40,66,57
41,69,61
42,76,57
43,81,61
44,72,65
45,74,67
46,75,68
47,64,51
48,68,58
49,71,65
50,81,71
51,81,66
52,76,63
53,77,55
54,75,54
55,74,56
56,66,59
57,71,64
58,77,67
59,78,69
60,82,67
61,83,70
62,81,59
63,48,47
64,48,45
65,52,45
66,54,45
67,55,48
68,60,51
69,60,40
70,65,53
71,71,63
72,72,54
73,76,58
74,72,55
75,75,59
76,68,51
77,59,53
78,64,59
79,64,46
80,67,49
81,75,57
82,67,51
83,68,65
84,69,62
85,74,66
86,76,54
87,73,55
88,66,53
89,63,55
90,56,56
91,64,56
92,68,60
93,44,39
94,45,40
95,56,42
96,67,43
97,62,50
98,63,40
99,66,38
100,59,43
101,59,50
102,74,61
103,65,55
104,68,52
105,61,37
106,59,34
107,58,39
108,63,50
109,60,56
110,54,48
111,59,56
112,59,41
113,56,36
114,64,34
115,55,23
116,67,39
117,70,52
118,76,58
119,75,63
120,75,62
121,64,57
122,73,60
123,63,55
124,39,7
125,46,20
126,52,45
127,44,36
128,41,21
129,39,31
130,39,36
131,38,31
132,35,34
133,46,42
134,50,32
135,54,28
136,55,34
137,59,39
138,59,23
139,51,23
140,56,47
141,52,42
142,46,34
143,46,42
144,56,49
145,55,39
146,45,27
147,44,24
148,46,26
149,50,33
150,51,37
151,53,35
152,51,38
153,50,40
154,21,16
155,32,19
156,27,14
157,38,32
158,29,11
160,28,12
161,33,20
162,37,19
163,40,28
164,47,34
165,34,12
166,32,7
167,35,32
168,34,30
169,36,14
170,40,27
171,26,0
173,28,13
174,35,29
175,30,5
176,26,0
177,28,15
178,39,22
179,47,45
180,41,38
181,35,30
182,34,11
183,38,27
184,44,24
185,21,2
186,21,13
187,14,1
188,26,17
189,22,18
191,23,17
192,21,20
193,20,14
194,22,15
195,20,12
196,23,17
198,17,11
199,9,9
201,17,6
202,23,16
203,20,14
205,19,16
206,34,29
207,19,2
209,25,11
210,20,8
212,22,1
213,28,8
214,36,15
215,30,20
216,44,41
217,34,13
218,17,5
219,15,3
221,25,14
222,21,3
223,24,6
224,36,28
225,25,5
226,20,10
227,28,24
228,27,10
230,36,35
231,39,30
232,33,13
233,28,14
234,33,22
235,31,15
236,33,29
237,29,17
238,20,15
239,17,11
240,19,6
241,21,10
242,27,26
243,16,0
244,52,40
245,38,27
246,44,42
247,37,21
248,34,25
249,42,40
250,30,20
251,24,16
252,39,41
253,43,39
254,36,31
255,35,27
256,37,26
257,39,27
258,37,29
259,40,36
260,45,41
261,40,30
262,33,22
263,32,24
264,33,27
265,39,34
266,45,42
267,44,44
268,52,43
269,44,29
270,45,31
271,46,35
272,36,20
273,26,4
274,25,5
275,44,39
276,38,29
277,45,18
278,51,35
279,57,40
280,49,45
281,44,37
282,42,25
283,48,33
284,48,35
285,53,47
286,53,49
287,44,29
288,39,27
289,35,16
290,36,23
291,43,41
292,36,19
293,31,9
294,40,18
295,32,10
296,34,13
297,51,32
298,54,53
299,55,40
300,42,33
301,35,29
302,31,24
303,29,16
304,45,37
305,57,56
306,54,52
307,52,50
308,58,57
309,55,42
310,55,42
311,64,57
312,66,54
313,58,37
314,57,36
315,51,42
316,52,40
317,54,46
318,68,60
319,71,63
320,65,64
321,64,57
322,63,56
323,50,35
324,49,30
325,56,52
326,53,50
327,51,50
328,49,46
329,55,42
330,53,40
331,55,38
332,53,47
333,63,53
334,53,39
335,50,37
336,79,70
337,82,71
338,79,59
339,75,57
340,79,65
341,81,69
342,70,57
343,65,54
344,65,56
345,65,59
346,71,62
347,62,50
348,60,53
349,59,47
350,58,45
351,60,52
352,62,50
353,65,47
354,51,35
355,60,48
356,73,64
357,64,52
358,61,41
359,60,51
360,58,51
361,62,51
362,71,55
363,74,60
364,66,58
365,57,55
366,74,64
367,67,61
368,66,60
369,71,65
370,76,66
371,77,60
372,72,54
373,73,53
374,72,56
375,73,57
376,75,59
377,73,62
378,67,64
379,70,53
380,68,52
381,70,52
382,73,58
383,71,51
384,67,52
385,67,58
386,66,62
387,68,62
388,67,58
389,69,54
390,74,60
391,75,63
392,79,64
393,73,54
394,65,52
395,69,56
396,76,69
397,79,65
398,82,69
399,81,70
400,70,65
401,70,53
402,76,51
403,79,64
404,83,66
405,81,64
406,74,56
407,68,57
408,71,60
409,77,61
410,79,70
411,78,72
412,73,70
413,74,57
414,71,56
415,68,61
416,67,59
417,67,61
418,75,65
419,82,68
420,70,64
421,73,54
422,75,58
423,73,67
424,75,67
425,72,57
426,71,55
427,72,58
428,59,44
429,70,48
430,65,53
431,58,53
432,59,57
433,67,53
434,71,55
435,74,55
436,74,55
437,69,61
438,61,54
439,63,55
440,62,59
441,68,58
442,69,51
443,68,49
444,73,62
445,78,61
446,76,51
447,69,41
448,66,46
449,65,47
450,68,53
451,72,56
452,78,63
453,71,65
454,66,47
455,70,52
456,74,55
457,77,59
458,52,48
459,60,38
460,59,39
461,56,37
462,58,38
463,56,32
464,58,31
465,55,38
466,55,49
467,69,59
468,71,38
469,69,43
470,49,40
471,55,46
472,67,58
473,66,60
474,67,54
475,58,41
476,60,37
477,61,44
478,59,49
479,55,51
480,55,50
481,57,48
482,59,51
483,67,53
484,62,51
485,47,45
486,51,42
487,57,48
488,56,46
489,41,28
490,42,32
491,44,27
492,41,32
493,46,34
494,47,20
495,49,30
496,54,47
497,50,26
498,47,21
499,59,40
500,59,35
501,54,41
502,66,52
503,55,55
504,38,24
505,36,23
506,37,30
507,50,30
508,44,27
509,53,32
510,60,42
511,52,43
512,51,23
513,50,29
514,45,38
515,46,39
516,48,37
517,43,35
518,43,37
519,26,7
520,35,20
523,25,14
524,18,1
525,25,18
526,41,23
527,37,8
528,36,23
529,47,30
530,42,37
531,21,12
532,28,8
533,48,30
534,30,6
535,22,0
536,27,10
537,34,25
538,45,34
539,40,20
540,43,24
541,33,13
543,30,8
544,30,7
545,34,1
546,48,36
547,46,39
548,40,37
549,38,31
550,37,21
551,43,33
552,34,26
553,29,18
554,29,26
555,24,11
556,25,8
557,24,2
558,26,18
559,25,12
560,20,2
561,16,1
562,29,29
563,33,26
564,31,25
565,28,12
567,25,20
568,29,27
569,41,27
570,39,36
571,42,27
572,43,26
573,35,11
574,26,5
575,24,2
576,21,6
578,24,5
579,14,11
581,15,1
582,31,26
583,43,42
586,25,5
587,28,25
588,47,46
589,46,30
590,41,29
591,47,44
592,42,35
593,36,35
594,40,30
595,35,32
596,33,25
597,34,21
598,19,3
602,27,18
603,21,2
604,34,18
607,23,2
608,33,16
609,41,36
610,39,36
611,43,33
612,40,27
613,47,42
614,46,44
615,37,24
616,30,13
617,37,32
618,33,27
619,28,16
620,23,4
621,23,8
622,21,11
623,31,27
624,25,11
625,19,12
626,28,17
627,35,22
628,42,30
629,48,41
630,45,40
631,37,34
632,34,20
633,22,3
634,29,23
635,32,18
636,38,23
637,39,34
638,32,23
639,20,2
640,66,57
641,58,45
642,44,32
643,37,19
644,40,27
645,52,41
646,56,49
647,44,24
648,41,21
649,50,34
650,47,26
651,40,24
652,32,12
653,41,18
654,50,22
655,50,30
656,47,46
657,59,49
658,41,19
659,36,11
660,39,18
661,45,42
662,41,24
663,26,1
664,26,0
665,38,24
666,51,50
667,33,13
668,29,8
669,28,14
670,64,51
671,72,55
672,70,49
673,63,51
674,64,55
675,59,55
676,69,63
677,60,41
678,55,43
679,55,49
680,59,51
681,57,52
682,55,45
683,53,44
684,58,50
685,57,53
686,64,56
687,63,50
688,59,41
689,57,38
690,57,39
691,60,44
692,50,30
693,50,27
694,46,27
695,47,29
696,51,32
697,50,28
698,46,27
699,46,37
700,52,49
701,75,69
702,75,70
703,75,66
704,73,54
705,64,55
706,62,40
707,68,47
708,67,50
709,62,42
710,68,61
711,83,69
712,78,68
713,69,63
714,63,51
715,64,47
716,60,47
717,52,37
718,63,42
719,63,50
720,63,54
721,67,59
722,64,56
723,58,39
724,58,40
725,58,44
726,59,47
727,62,49
728,62,53
729,57,52
730,58,51
731,74,61
732,76,61
733,74,60
734,74,55
735,70,44
736,67,50
737,70,56
738,73,65
739,74,71
740,76,59
741,72,51
742,75,56
743,70,63
744,70,52
745,69,48
746,71,51
747,69,56
748,71,59
749,74,57
750,78,60
751,78,61
752,80,65
753,72,58
754,66,46
755,72,51
756,76,60
757,71,65
758,67,62
759,65,61
760,74,61
761,76,69
762,78,71
763,72,66
764,77,67
765,85,71
766,87,71
767,86,68
768,84,66
769,76,67
770,69,64
771,77,69
772,78,70
773,70,60
774,69,64
775,81,70
776,83,69
777,84,67
778,84,69
779,84,70
780,89,72
781,88,70
782,74,63
783,72,66
784,75,70
785,77,65
786,63,55
787,67,62
788,73,62
789,71,66
790,74,67
791,75,59
792,74,59
793,81,63
794,78,64
