timestamp_sec,timestamp_hms,ram_mb
0.00,0:00:00,914.74
1.00,0:00:01,910.02
2.00,0:00:02,905.30
3.00,0:00:03,900.57
4.00,0:00:04,895.85
5.00,0:00:05,891.13
6.00,0:00:06,886.41
7.00,0:00:07,881.68
8.00,0:00:08,876.96
9.00,0:00:09,872.24
10.00,0:00:10,867.52
11.00,0:00:11,862.80
12.00,0:00:12,858.07
13.00,0:00:13,853.35
14.00,0:00:14,848.63
15.00,0:00:15,843.91
16.00,0:00:16,839.18
17.00,0:00:17,834.46
18.00,0:00:18,829.74
19.00,0:00:19,825.02
20.00,0:00:20,820.29
23.60,0:00:23,803.29
24.60,0:00:24,798.57
25.60,0:00:25,793.85
26.60,0:00:26,789.12
27.60,0:00:27,784.40
28.60,0:00:28,779.68
29.60,0:00:29,774.96
30.60,0:00:30,770.23
31.60,0:00:31,765.51
32.60,0:00:32,760.79
33.60,0:00:33,756.07
34.60,0:00:34,751.34
35.60,0:00:35,746.62
36.60,0:00:36,741.90
37.60,0:00:37,737.18
38.60,0:00:38,732.45
39.60,0:00:39,727.73
40.60,0:00:40,723.01
41.60,0:00:41,718.29
42.60,0:00:42,713.56
43.60,0:00:43,708.84
44.60,0:00:44,704.12
45.60,0:00:45,699.39
46.60,0:00:46,694.67
47.60,0:00:47,689.95
48.60,0:00:48,685.23
49.60,0:00:49,680.50
50.60,0:00:50,675.78
51.60,0:00:51,671.06
52.60,0:00:52,666.34
53.60,0:00:53,661.61
54.60,0:00:54,656.89
55.60,0:00:55,652.17
59.14,0:00:59,635.46
60.14,0:01:00,630.74
61.14,0:01:01,626.02
62.14,0:01:02,621.30
63.14,0:01:03,616.57
64.14,0:01:04,611.85
65.27,0:01:05,606.53
66.27,0:01:06,601.80
67.27,0:01:07,597.08
68.27,0:01:08,592.36
69.27,0:01:09,587.64
70.27,0:01:10,582.91
71.27,0:01:11,578.19
72.27,0:01:12,573.47
73.27,0:01:13,568.75
74.27,0:01:14,564.02
75.27,0:01:15,559.30
76.27,0:01:16,554.58
77.27,0:01:17,549.86
78.27,0:01:18,545.13
79.27,0:01:19,540.41
80.27,0:01:20,535.69
81.27,0:01:21,530.97
82.27,0:01:22,526.25
83.27,0:01:23,521.52
84.27,0:01:24,516.80
85.27,0:01:25,512.08
86.27,0:01:26,507.36
87.27,0:01:27,502.63
88.27,0:01:28,497.91
89.27,0:01:29,493.19
90.27,0:01:30,488.46
91.27,0:01:31,483.74
92.27,0:01:32,479.02
93.27,0:01:33,474.30
94.27,0:01:34,469.57
95.27,0:01:35,464.85
96.27,0:01:36,460.13
97.27,0:01:37,455.41
100.84,0:01:40,438.58
101.84,0:01:41,433.86
102.84,0:01:42,429.14
103.84,0:01:43,424.41
104.84,0:01:44,419.69
105.84,0:01:45,414.97
106.84,0:01:46,410.25
107.84,0:01:47,405.52
108.84,0:01:48,400.80
109.84,0:01:49,396.08
110.84,0:01:50,391.35
111.84,0:01:51,386.63
112.84,0:01:52,381.91
113.84,0:01:53,377.19
114.84,0:01:54,372.46
115.84,0:01:55,367.74
116.84,0:01:56,363.02
117.84,0:01:57,358.30
118.84,0:01:58,353.57
119.84,0:01:59,348.85
120.84,0:02:00,344.13
121.84,0:02:01,339.41
122.84,0:02:02,334.68
123.84,0:02:03,329.96
124.84,0:02:04,325.24
125.84,0:02:05,320.52
126.84,0:02:06,315.79
127.84,0:02:07,311.07
128.84,0:02:08,306.35
129.84,0:02:09,301.62
130.84,0:02:10,296.90
131.84,0:02:11,292.18
132.84,0:02:12,287.46
136.35,0:02:16,270.88
137.35,0:02:17,266.16
138.35,0:02:18,261.44
139.35,0:02:19,256.71
140.35,0:02:20,251.99
141.35,0:02:21,247.27
142.35,0:02:22,242.55
143.35,0:02:23,237.82
144.35,0:02:24,233.10
145.35,0:02:25,228.38
146.35,0:02:26,223.66
147.35,0:02:27,218.93
148.35,0:02:28,214.21
149.35,0:02:29,209.49
150.35,0:02:30,204.77
151.35,0:02:31,200.05
152.35,0:02:32,195.32
153.35,0:02:33,190.60
154.35,0:02:34,185.88
155.35,0:02:35,181.16
156.35,0:02:36,176.43
157.35,0:02:37,171.71
158.35,0:02:38,166.99
159.35,0:02:39,162.27
160.35,0:02:40,157.54
161.35,0:02:41,152.82
162.35,0:02:42,148.10
163.35,0:02:43,143.38
164.35,0:02:44,138.65
165.35,0:02:45,133.93
166.35,0:02:46,129.21
167.35,0:02:47,124.48
171.27,0:02:51,105.97
172.27,0:02:52,101.25
173.27,0:02:53,96.52
174.27,0:02:54,91.80
175.27,0:02:55,87.07
176.27,0:02:56,104.58
177.27,0:02:57,104.58
178.27,0:02:58,104.58
179.27,0:02:59,104.58
