timestamp_sec,timestamp_hms,ram_mb
0.00,0:00:00,909.81
1.00,0:00:01,529.50
2.00,0:00:02,836.87
3.00,0:00:03,353.45
4.00,0:00:04,339.64
5.00,0:00:05,299.93
6.00,0:00:06,224.34
7.00,0:00:07,677.11
8.00,0:00:08,537.68
9.00,0:00:09,514.48
10.00,0:00:10,571.36
11.00,0:00:11,324.69
12.00,0:00:12,290.84
13.00,0:00:13,110.09
14.00,0:00:14,364.52
15.00,0:00:15,345.02
16.00,0:00:16,539.16
17.00,0:00:17,806.35
18.00,0:00:18,259.96
19.00,0:00:19,901.04
20.00,0:00:20,89.46
21.00,0:00:21,513.45
22.01,0:00:22,632.35
23.02,0:00:23,443.83
24.02,0:00:24,537.60
25.02,0:00:25,628.29
26.02,0:00:26,274.89
27.02,0:00:27,492.66
28.02,0:00:28,419.67
29.02,0:00:29,719.96
30.02,0:00:30,380.03
34.64,0:00:34,602.19
35.64,0:00:35,758.26
36.64,0:00:36,679.58
37.64,0:00:37,825.06
38.64,0:00:38,574.55
39.64,0:00:39,594.09
40.64,0:00:40,611.97
41.64,0:00:41,455.86
42.64,0:00:42,715.26
43.64,0:00:43,815.18
44.64,0:00:44,479.30
45.64,0:00:45,178.70
46.64,0:00:46,158.87
47.64,0:00:47,587.53
48.64,0:00:48,320.00
49.64,0:00:49,572.14
50.64,0:00:50,232.18
51.64,0:00:51,210.08
52.64,0:00:52,579.45
53.64,0:00:53,118.32
54.64,0:00:54,832.23
55.64,0:00:55,334.79
56.64,0:00:56,337.10
57.64,0:00:57,219.20
58.64,0:00:58,509.41
59.64,0:00:59,719.54
60.64,0:01:00,505.45
61.64,0:01:01,715.21
62.64,0:01:02,820.91
63.64,0:01:03,444.96
64.64,0:01:04,838.96
65.64,0:01:05,312.68
66.64,0:01:06,655.37
70.81,0:01:10,865.02
71.81,0:01:11,325.89
72.81,0:01:12,427.47
73.81,0:01:13,888.34
74.81,0:01:14,323.80
75.81,0:01:15,339.24
76.81,0:01:16,764.35
77.81,0:01:17,813.13
78.81,0:01:18,82.18
79.81,0:01:19,743.41
80.81,0:01:20,352.91
81.81,0:01:21,331.23
82.81,0:01:22,276.78
83.81,0:01:23,822.69
84.81,0:01:24,458.75
85.81,0:01:25,417.04
86.81,0:01:26,82.18
87.81,0:01:27,290.37
88.81,0:01:28,776.52
89.81,0:01:29,883.14
90.81,0:01:30,606.60
91.81,0:01:31,640.19
92.81,0:01:32,379.00
93.81,0:01:33,825.69
94.81,0:01:34,133.38
95.81,0:01:35,808.47
96.81,0:01:36,454.84
97.81,0:01:37,176.75
98.81,0:01:38,596.54
99.81,0:01:39,157.62
100.81,0:01:40,745.44
101.81,0:01:41,791.42
102.81,0:01:42,249.65
106.93,0:01:46,824.32
107.93,0:01:47,861.32
108.93,0:01:48,889.66
109.93,0:01:49,368.86
110.93,0:01:50,547.53
111.93,0:01:51,522.91
112.93,0:01:52,338.30
113.93,0:01:53,687.70
114.93,0:01:54,113.75
115.93,0:01:55,250.46
116.93,0:01:56,83.97
117.93,0:01:57,433.20
118.93,0:01:58,659.00
119.93,0:01:59,356.34
120.93,0:02:00,628.63
121.93,0:02:01,735.10
122.93,0:02:02,303.04
123.93,0:02:03,504.34
124.93,0:02:04,423.59
125.93,0:02:05,894.19
126.93,0:02:06,764.00
127.93,0:02:07,239.35
128.93,0:02:08,392.73
129.93,0:02:09,870.35
130.93,0:02:10,501.32
131.93,0:02:11,191.00
132.93,0:02:12,204.92
133.93,0:02:13,606.04
134.93,0:02:14,579.82
135.93,0:02:15,317.16
136.93,0:02:16,85.93
137.93,0:02:17,309.62
142.50,0:02:22,424.38
143.50,0:02:23,642.11
144.50,0:02:24,583.59
145.50,0:02:25,832.34
146.50,0:02:26,255.63
147.50,0:02:27,736.48
148.50,0:02:28,889.54
149.50,0:02:29,798.12
150.50,0:02:30,273.03
151.50,0:02:31,356.18
152.50,0:02:32,203.00
153.50,0:02:33,918.18
154.50,0:02:34,486.51
155.50,0:02:35,277.25
156.50,0:02:36,221.94
157.50,0:02:37,639.92
158.50,0:02:38,412.27
159.50,0:02:39,520.46
160.50,0:02:40,402.28
161.50,0:02:41,886.76
162.50,0:02:42,404.36
163.50,0:02:43,695.98
164.50,0:02:44,686.27
165.50,0:02:45,359.43
166.50,0:02:46,334.91
167.50,0:02:47,147.32
168.50,0:02:48,292.48
169.51,0:02:49,153.17
170.51,0:02:50,674.24
171.51,0:02:51,437.04
172.51,0:02:52,827.68
173.51,0:02:53,648.98
174.51,0:02:54,413.80
178.62,0:02:58,855.39
179.62,0:02:59,746.11
