timestamp_sec,timestamp_hms,ram_mb
0.00,0:00:00,693.76
1.00,0:00:01,647.33
2.00,0:00:02,800.89
3.00,0:00:03,816.27
4.00,0:00:04,672.74
5.00,0:00:05,740.07
6.00,0:00:06,784.14
7.00,0:00:07,809.92
8.00,0:00:08,838.30
9.00,0:00:09,780.81
10.00,0:00:10,775.18
11.00,0:00:11,788.50
12.00,0:00:12,803.21
13.00,0:00:13,550.80
14.01,0:00:14,700.75
17.57,0:00:17,726.52
18.57,0:00:18,748.11
19.57,0:00:19,766.07
20.57,0:00:20,351.35
21.57,0:00:21,567.76
22.57,0:00:22,580.26
23.57,0:00:23,802.43
24.57,0:00:24,835.24
25.57,0:00:25,767.46
26.57,0:00:26,481.25
27.57,0:00:27,635.97
28.57,0:00:28,814.61
29.57,0:00:29,916.89
30.57,0:00:30,441.04
31.57,0:00:31,732.00
32.57,0:00:32,874.96
33.57,0:00:33,436.66
34.57,0:00:34,755.05
35.57,0:00:35,498.95
36.57,0:00:36,408.72
37.57,0:00:37,573.66
38.57,0:00:38,448.88
39.57,0:00:39,628.57
40.57,0:00:40,593.88
41.57,0:00:41,691.41
42.57,0:00:42,587.72
43.57,0:00:43,402.84
44.57,0:00:44,423.23
45.57,0:00:45,430.16
46.57,0:00:46,388.79
47.57,0:00:47,401.16
48.57,0:00:48,307.81
49.57,0:00:49,541.70
53.17,0:00:53,467.84
54.17,0:00:54,362.10
55.17,0:00:55,316.57
56.17,0:00:56,253.20
57.17,0:00:57,513.59
58.17,0:00:58,627.38
59.17,0:00:59,431.30
60.17,0:01:00,412.11
61.17,0:01:01,443.45
62.17,0:01:02,498.43
63.17,0:01:03,519.46
64.17,0:01:04,561.70
65.17,0:01:05,424.52
66.17,0:01:06,423.33
67.17,0:01:07,494.69
68.17,0:01:08,685.89
69.17,0:01:09,422.23
70.17,0:01:10,554.84
71.17,0:01:11,436.36
72.17,0:01:12,261.70
73.17,0:01:13,247.36
74.17,0:01:14,345.72
75.17,0:01:15,696.05
76.17,0:01:16,91.91
77.17,0:01:17,357.61
78.17,0:01:18,121.07
79.18,0:01:19,791.16
80.18,0:01:20,842.56
81.18,0:01:21,279.99
82.18,0:01:22,688.87
83.18,0:01:23,754.72
84.18,0:01:24,709.39
88.05,0:01:28,670.52
89.05,0:01:29,512.06
90.05,0:01:30,162.04
91.05,0:01:31,263.41
92.05,0:01:32,394.69
93.05,0:01:33,593.85
94.05,0:01:34,792.32
95.05,0:01:35,207.61
96.05,0:01:36,485.22
97.05,0:01:37,486.90
98.05,0:01:38,597.43
99.05,0:01:39,508.86
100.05,0:01:40,630.93
101.05,0:01:41,560.06
102.05,0:01:42,633.18
103.05,0:01:43,497.52
104.05,0:01:44,690.86
105.05,0:01:45,206.90
106.05,0:01:46,546.78
107.05,0:01:47,594.00
108.05,0:01:48,572.78
109.05,0:01:49,652.75
110.05,0:01:50,751.96
111.05,0:01:51,491.69
112.05,0:01:52,103.21
113.05,0:01:53,744.61
114.05,0:01:54,483.33
115.05,0:01:55,407.50
116.05,0:01:56,587.64
117.05,0:01:57,509.28
118.05,0:01:58,275.41
119.05,0:01:59,365.92
120.05,0:02:00,507.43
123.64,0:02:03,495.83
124.64,0:02:04,802.18
125.64,0:02:05,713.24
126.64,0:02:06,408.66
127.64,0:02:07,689.05
128.64,0:02:08,689.77
129.64,0:02:09,221.54
130.64,0:02:10,776.61
131.64,0:02:11,754.57
132.64,0:02:12,598.10
133.64,0:02:13,654.33
134.64,0:02:14,614.35
135.64,0:02:15,285.00
136.64,0:02:16,801.32
137.64,0:02:17,596.58
138.64,0:02:18,199.50
139.64,0:02:19,423.29
140.64,0:02:20,402.66
141.64,0:02:21,682.88
142.64,0:02:22,114.69
143.64,0:02:23,169.95
144.64,0:02:24,380.29
145.64,0:02:25,412.57
146.64,0:02:26,540.06
147.64,0:02:27,523.34
148.64,0:02:28,689.07
149.64,0:02:29,715.99
150.64,0:02:30,721.32
151.64,0:02:31,519.91
152.64,0:02:32,371.29
153.64,0:02:33,785.04
154.64,0:02:34,257.82
158.58,0:02:38,524.21
159.58,0:02:39,670.71
160.58,0:02:40,465.84
161.58,0:02:41,544.64
162.58,0:02:42,325.38
163.58,0:02:43,468.58
164.58,0:02:44,743.46
165.58,0:02:45,366.60
166.58,0:02:46,300.62
167.58,0:02:47,490.44
168.58,0:02:48,377.00
169.58,0:02:49,250.04
170.58,0:02:50,257.64
171.58,0:02:51,454.37
172.58,0:02:52,339.12
173.58,0:02:53,386.04
174.58,0:02:54,269.59
175.58,0:02:55,798.05
176.58,0:02:56,428.17
177.58,0:02:57,184.61
178.58,0:02:58,404.60
179.58,0:02:59,609.54
