timestamp_sec,timestamp_hms,ram_mb
0.00,0:00:00,491.90
1.00,0:00:01,521.59
2.00,0:00:02,551.09
3.00,0:00:03,580.30
4.00,0:00:04,609.09
5.00,0:00:05,637.31
6.00,0:00:06,664.82
7.00,0:00:07,691.48
8.00,0:00:08,717.17
9.00,0:00:09,741.77
10.00,0:00:10,765.14
11.00,0:00:11,787.19
12.00,0:00:12,807.80
13.00,0:00:13,826.87
14.00,0:00:14,844.30
15.00,0:00:15,860.02
16.00,0:00:16,873.95
17.00,0:00:17,886.01
18.00,0:00:18,896.15
19.00,0:00:19,904.33
20.00,0:00:20,910.49
21.00,0:00:21,914.62
24.62,0:00:24,912.28
25.62,0:00:25,906.88
26.62,0:00:26,899.46
27.62,0:00:27,890.05
28.62,0:00:28,878.70
29.62,0:00:29,865.46
30.62,0:00:30,850.41
31.62,0:00:31,833.61
32.62,0:00:32,815.15
33.62,0:00:33,795.11
34.62,0:00:34,773.59
35.62,0:00:35,750.70
36.62,0:00:36,726.55
37.62,0:00:37,701.25
38.62,0:00:38,674.94
39.62,0:00:39,647.73
40.62,0:00:40,619.77
41.62,0:00:41,591.18
42.62,0:00:42,562.11
43.62,0:00:43,532.70
44.62,0:00:44,503.09
45.62,0:00:45,473.42
46.62,0:00:46,443.84
47.62,0:00:47,414.50
48.62,0:00:48,385.54
49.62,0:00:49,357.09
50.62,0:00:50,329.30
51.62,0:00:51,302.31
52.63,0:00:52,276.23
53.63,0:00:53,251.21
54.63,0:00:54,227.37
55.63,0:00:55,204.81
56.63,0:00:56,183.65
60.08,0:01:00,122.67
61.08,0:01:01,108.89
62.08,0:01:02,96.98
63.08,0:01:03,87.00
64.08,0:01:04,78.98
65.08,0:01:05,84.77
66.08,0:01:06,84.77
67.08,0:01:07,84.77
68.08,0:01:08,84.77
69.08,0:01:09,84.77
70.08,0:01:10,84.77
71.08,0:01:11,90.05
72.08,0:01:12,111.30
73.08,0:01:13,143.36
74.08,0:01:14,111.56
75.08,0:01:15,169.74
76.08,0:01:16,185.61
77.08,0:01:17,203.18
78.08,0:01:18,222.38
79.08,0:01:19,243.11
80.08,0:01:20,265.28
81.08,0:01:21,288.77
82.08,0:01:22,313.46
83.08,0:01:23,339.23
84.08,0:01:24,365.97
85.08,0:01:25,393.55
86.08,0:01:26,421.82
87.08,0:01:27,450.64
88.08,0:01:28,479.90
89.08,0:01:29,509.42
90.08,0:01:30,539.08
91.08,0:01:31,568.72
94.86,0:01:34,678.11
95.86,0:01:35,705.72
96.86,0:01:36,732.51
97.86,0:01:37,758.34
98.86,0:01:38,783.10
99.86,0:01:39,806.65
100.86,0:01:40,828.88
101.86,0:01:41,849.69
102.86,0:01:42,868.98
103.86,0:01:43,886.64
104.86,0:01:44,902.60
105.86,0:01:45,916.77
106.86,0:01:46,929.10
107.86,0:01:47,939.50
108.86,0:01:48,947.95
109.86,0:01:49,954.39
110.87,0:01:50,958.80
111.87,0:01:51,961.15
112.87,0:01:52,961.43
113.87,0:01:53,959.64
114.87,0:01:54,955.78
115.88,0:01:55,949.78
116.88,0:01:56,941.84
117.88,0:01:57,931.92
118.88,0:01:58,920.08
119.88,0:01:59,906.37
120.88,0:02:00,890.86
121.88,0:02:01,873.62
122.88,0:02:02,854.74
123.88,0:02:03,834.30
124.88,0:02:04,812.42
125.88,0:02:05,789.20
129.38,0:02:09,699.18
130.38,0:02:10,671.39
131.38,0:02:11,642.81
132.38,0:02:12,613.84
133.38,0:02:13,584.50
134.38,0:02:14,554.92
135.38,0:02:15,525.25
136.38,0:02:16,495.64
137.38,0:02:17,466.23
138.38,0:02:18,437.16
139.38,0:02:19,408.58
140.38,0:02:20,380.62
141.38,0:02:21,353.41
142.38,0:02:22,327.11
143.38,0:02:23,301.82
144.38,0:02:24,277.68
145.38,0:02:25,254.79
146.38,0:02:26,233.28
147.38,0:02:27,213.25
148.38,0:02:28,194.80
149.38,0:02:29,178.01
150.38,0:02:30,162.96
151.38,0:02:31,111.57
152.38,0:02:32,131.85
153.38,0:02:33,131.85
154.38,0:02:34,131.85
155.38,0:02:35,131.85
156.38,0:02:36,131.85
157.38,0:02:37,67.07
158.38,0:02:38,67.58
159.38,0:02:39,71.38
160.38,0:02:40,79.89
161.38,0:02:41,95.40
164.82,0:02:44,149.65
165.82,0:02:45,165.20
166.82,0:02:46,182.34
167.82,0:02:47,201.12
168.82,0:02:48,221.46
169.82,0:02:49,243.25
170.82,0:02:50,266.39
171.82,0:02:51,290.78
172.82,0:02:52,316.29
173.82,0:02:53,342.79
174.82,0:02:54,370.15
175.82,0:02:55,398.25
176.82,0:02:56,426.94
177.82,0:02:57,456.09
178.82,0:02:58,485.55
179.82,0:02:59,515.19
