timestamp_sec,timestamp_hms,ram_mb
0.00,0:00:00,837.86
1.00,0:00:01,651.09
2.77,0:00:02,228.86
3.77,0:00:03,324.88
4.77,0:00:04,582.62
5.77,0:00:05,492.70
7.35,0:00:07,852.95
8.49,0:00:08,801.90
9.83,0:00:09,609.04
10.92,0:00:10,577.21
11.92,0:00:11,683.62
13.11,0:00:13,415.04
14.11,0:00:14,544.18
15.11,0:00:15,545.20
16.61,0:00:16,390.25
17.61,0:00:17,674.86
18.61,0:00:18,333.04
19.61,0:00:19,487.43
20.61,0:00:20,651.65
21.92,0:00:21,404.71
25.85,0:00:25,517.73
26.85,0:00:26,581.96
27.85,0:00:27,627.11
28.85,0:00:28,716.52
30.00,0:00:29,564.12
31.06,0:00:31,435.77
32.06,0:00:32,707.60
33.08,0:00:33,510.20
34.09,0:00:34,825.46
35.22,0:00:35,378.36
36.22,0:00:36,843.37
37.22,0:00:37,33.88
38.22,0:00:38,271.67
39.22,0:00:39,530.43
40.22,0:00:40,232.28
41.22,0:00:41,484.91
42.22,0:00:42,2.32
43.22,0:00:43,611.54
44.22,0:00:44,2.32
45.22,0:00:45,486.34
46.22,0:00:46,474.36
47.22,0:00:47,727.58
48.22,0:00:48,368.96
49.22,0:00:49,14.78
50.22,0:00:50,407.65
51.22,0:00:51,718.81
52.22,0:00:52,354.86
53.22,0:00:53,2.30
54.22,0:00:54,434.90
55.22,0:00:55,2.30
56.22,0:00:56,2.30
57.22,0:00:57,625.80
58.22,0:00:58,30.51
61.71,0:01:01,822.58
62.71,0:01:02,30.53
63.71,0:01:03,379.51
64.71,0:01:04,367.26
65.71,0:01:05,30.53
66.72,0:01:06,581.58
67.72,0:01:07,323.44
68.72,0:01:08,537.59
69.72,0:01:09,402.65
70.72,0:01:10,322.45
71.72,0:01:11,501.29
72.72,0:01:12,30.53
73.72,0:01:13,443.88
74.72,0:01:14,494.79
75.72,0:01:15,132.21
76.72,0:01:16,30.54
77.72,0:01:17,356.53
78.72,0:01:18,762.09
79.72,0:01:19,420.49
80.72,0:01:20,234.05
81.72,0:01:21,126.18
82.72,0:01:22,765.94
83.72,0:01:23,297.68
84.72,0:01:24,117.35
85.72,0:01:25,230.65
86.72,0:01:26,548.48
87.72,0:01:27,484.09
88.72,0:01:28,29.20
89.72,0:01:29,380.70
90.72,0:01:30,635.23
91.72,0:01:31,482.95
92.72,0:01:32,186.31
93.72,0:01:33,479.19
97.29,0:01:37,736.72
98.36,0:01:38,260.62
99.36,0:01:39,821.89
100.36,0:01:40,495.90
101.56,0:01:41,538.78
102.56,0:01:42,377.18
103.56,0:01:43,509.19
104.56,0:01:44,280.28
105.56,0:01:45,435.74
106.56,0:01:46,180.65
107.56,0:01:47,685.09
108.56,0:01:48,437.49
109.56,0:01:49,251.04
110.56,0:01:50,851.85
111.56,0:01:51,851.86
112.99,0:01:52,745.84
114.27,0:01:54,754.66
115.56,0:01:55,765.79
116.91,0:01:56,283.82
117.91,0:01:57,853.12
118.93,0:01:58,644.27
120.23,0:02:00,391.24
121.23,0:02:01,195.53
122.23,0:02:02,8.15
123.23,0:02:03,479.90
124.23,0:02:04,752.35
125.39,0:02:05,2.35
126.39,0:02:06,481.95
127.39,0:02:07,286.68
128.39,0:02:08,772.43
132.36,0:02:12,590.02
133.63,0:02:13,851.71
134.92,0:02:14,512.78
136.09,0:02:16,852.51
137.23,0:02:17,655.68
138.54,0:02:18,851.90
139.86,0:02:19,553.69
141.08,0:02:21,708.61
142.10,0:02:22,2.21
143.10,0:02:23,59.90
144.10,0:02:24,832.16
145.10,0:02:25,119.05
146.10,0:02:26,235.14
147.10,0:02:27,852.60
148.10,0:02:28,2.59
149.10,0:02:29,850.98
150.10,0:02:30,2.59
151.10,0:02:31,458.55
152.10,0:02:32,231.63
153.10,0:02:33,852.59
154.10,0:02:34,432.36
155.17,0:02:35,686.50
156.17,0:02:36,778.43
157.47,0:02:37,688.93
158.75,0:02:38,319.37
159.75,0:02:39,571.41
160.75,0:02:40,350.31
161.75,0:02:41,238.30
162.75,0:02:42,2.07
163.75,0:02:43,757.23
167.72,0:02:47,2.07
168.72,0:02:48,852.07
169.72,0:02:49,622.48
171.45,0:02:51,275.06
172.45,0:02:52,133.28
173.45,0:02:53,13.70
174.45,0:02:54,789.21
175.46,0:02:55,124.50
176.46,0:02:56,743.67
177.46,0:02:57,505.82
178.55,0:02:58,679.41
179.55,0:02:59,50.75
